crop,season,soil,preference,lat,lon,N,P,K,pH,rainfall,temperature,humidity,fertilizer_type,yield
Potato,Kharif,Clay,Organic,11.97297282855647,95.33711613203229,79.67448784348608,53.818706489653415,35.73181322067343,8.20945183748992,577.4605507254246,28.144820540202637,102.35335665169589,Inorganic,20066.626957778088
Sugarcane,Monsoon,Silty,Inorganic,36.8544597104277,70.39928714908645,96.67039084684795,66.58457765061668,30.95067506850009,4.67546243214443,751.3785971676151,18.253449726292985,47.2544623263181,Organic,75146.06468139078
Tomato,Zaid,Loamy,Inorganic,23.289747161863467,75.36419538578718,81.46967533715208,16.787394002395175,35.645221246910275,6.28334830458524,1064.0871152759971,27.754389720193107,69.34860923993135,Mixed,52014.29862940029
Cotton,Monsoon,Clay,Inorganic,19.36389059586329,90.61966148040578,62.58413187119709,43.8962452399958,45.9865623301563,7.3272151227246685,609.8726002584258,21.552601512460512,86.19085414953133,Inorganic,515.4292903543918
Potato,Monsoon,Chalky,Inorganic,27.11429916961627,70.86337899959732,111.58009944879402,56.784848494474716,22.1041574639054,8.721355581689428,810.0267521187436,25.678450877027267,54.6479550212359,Mixed,22233.79393549185
Chili,Monsoon,Silty,Mixed,11.157906105450133,70.19417201321922,98.51209713925762,17.249766223553337,59.802043117984134,6.677075041766048,819.6117150894503,21.344022796863257,61.45813475036767,Inorganic,16111.371540507298
Maize,Monsoon,Clay,Organic,26.459620755847276,78.48470056386712,118.37887359061598,70.04398040633347,46.89830194818883,6.734220126062692,1234.546363289637,14.027980563119113,74.39219761739652,Mixed,4871.912323595014
Potato,Winter,Clay,Mixed,22.448844014478915,70.67287079570053,123.83313723996582,55.69838055205225,33.569438748511416,6.539685381747749,1198.0286381591138,24.891332535358032,70.81835369596679,Inorganic,22656.87567821344
Tomato,Winter,Loamy,Inorganic,19.793548029958913,84.96727482397989,136.75776211267043,66.24819232897852,49.76088541463801,7.557234404684163,1021.1458276776751,17.8279212057602,73.39548596331464,Organic,47510.95054890847
Cotton,Rabi,Chalky,Mixed,35.637580614188074,74.5619822736814,104.00460236327994,41.54078205332856,54.668188804877296,6.931703565237899,1135.3194644912671,27.098576943656624,82.40387711912398,Organic,415.5954206235102
Sugarcane,Kharif,Peaty,Organic,23.153651785229542,93.9752409327818,138.05863073809624,43.350188445857135,36.03594340477074,5.924912213207115,1141.237133190091,25.873924129032602,59.798688287712636,Organic,91520.05771669032
Tomato,Monsoon,Peaty,Mixed,14.354406904628213,90.72150234451244,70.72676477827137,47.585954678013955,37.40098252281926,7.615511691428727,890.9141328601086,21.980577280297098,86.5553884720211,Mixed,77570.43157418973
Tomato,Rabi,Clay,Organic,21.30994090194166,88.29145097688482,127.26879487684394,82.0731357132731,57.92169056167606,6.037809284152173,837.2502080836814,34.12768519011994,39.19977575900975,Inorganic,35986.20252575226
Maize,Kharif,Sandy,Mixed,34.66223473260751,85.89137679415056,113.7817124898356,69.771580407456,65.42770176301718,4.9015038799160005,1461.0059246867113,18.803562663478097,81.16156318378506,Mixed,3973.575272810609
Soybean,Summer,Chalky,Organic,13.106768668587245,93.04050617990244,106.9927795754436,51.985215492631205,40.353227890817294,4.904675458564422,253.26165855930287,21.87831174371917,82.20808531364466,Mixed,2027.6446977871574
Cotton,Zaid,Silty,Organic,14.20475412195887,74.46879978473994,113.34196702489352,53.81602657476176,26.10142783493231,6.298931853575318,777.6089893188242,19.39654208808126,53.38294435918938,Inorganic,691.5679162756039
Wheat,Winter,Sandy,Inorganic,8.37785746495543,93.3201564401626,71.17783364993613,59.523557173773995,34.3527741409053,6.603041565771388,938.8652435770282,35.2065801612961,43.24045736034627,Mixed,2705.820516735617
Tomato,Summer,Sandy,Organic,8.411511432477248,90.89527665429752,64.09759570224932,85.87332231487188,52.39618893363041,7.455629273048739,1167.9854281958042,31.76122070823039,61.51748893160385,Inorganic,27965.39250782708
Soybean,Kharif,Chalky,Inorganic,32.052357181796864,89.69666396524288,151.29484558230996,55.74079689585576,27.637416447834468,7.140816411781102,1340.6519578309576,17.889390678347844,71.05704696243896,Inorganic,2289.19946321537
Wheat,Summer,Clay,Inorganic,29.23155559844572,84.27641466417279,94.93833465408188,50.68939094178155,37.50060160289178,6.579850945206344,1557.0194812564441,20.872094791732046,59.97351482464368,Organic,2928.474491937982
Cotton,Zaid,Clay,Inorganic,18.29619063710679,75.1410806681474,94.51019734579899,44.92102405077518,43.511018577179556,7.511510491432352,972.4867951389609,21.04170670772451,72.52913281935788,Organic,387.1153552662045
Rice,Kharif,Clay,Mixed,28.25102355959961,80.282889563765,66.93071577276125,53.523728712791616,28.927423763107992,6.512737906630951,992.5793125930498,22.246364911185722,94.06615644904653,Organic,3915.092083534655
Chili,Summer,Clay,Mixed,19.460971862989133,91.01354898162525,55.546650835094894,41.19467272473186,53.15721474251292,5.209513967220052,1108.783018184554,19.786096730833428,44.52932090949037,Inorganic,14244.281423155797
